ges_id,name,school_type,region,district,courses_offered,contact
150,Aggrey Mem. A.M.E.Zion Snr. High,Senior High School,Central,Abura/Asebu/Kwamankese,Mr. John Doe,
256,Agogo State College,Senior High School,Ashanti,Asante-Akim North,Mr. John Doe,
344,Agona Namonwora Comm.Senior High,Senior High Technical School,Central,Agona East,Mr. John Doe,
114,Agona Senior High/Tech,Senior High Technical School,Ashanti,Sekyere South,Mr. John Doe,
278,"Agric Nzema Senior High, Kumasi",Senior High School,Ashanti,Kwadaso,Mr. John Doe,
55,Ahafoman Senior High/Tech,Senior High Technical School,Ahafo,Asunafo North,Mr. John Doe,
471,Ahamansu Islamic SHS,Senior High Technical School,Oti,Kadjebi,Mr. John Doe,
238,Ahantaman Girls' Senior High,Senior High School,Western,Shama,Mr. John Doe,
551,Akatsi Senior High/Tech,Senior High Technical School,Volta,Akatsi South,Mr. John Doe,
392,Akim Asafo Senior High,Senior High School,Eastern,Abuakwa South,Mr. John Doe,
168,Akim Swedru Senior High,Senior High School,Eastern,Birim South,Mr. John Doe,
375,Akokoaso Senior High/Tech,Senior High School,Eastern,Akyemansa,Mr. John Doe,
571,Akome Senior High/Tech.,Senior High Technical School,Volta,Ho West,Mr. John Doe,
420,Akramaman Senior High,Senior High School,Greater Accra,Ga West,Mr. John Doe,
401,Akro Senior High/Tech,Senior High School,Eastern,Lower Manya Krobo,Mr. John Doe,
68,Akrofuom Senior High/Tech,Senior High Technical School,Ashanti,Akrofuom,Mr. John Doe,
385,Akroso Senior High/Tech,Senior High School,Eastern,Asene Manso Akroso,Mr. John Doe,
293,Akumadan Senior High,Senior High School,Ashanti,Offinso North,Mr. John Doe,
149,Akumfi Ameyaw Senior High/Tech.,Senior High Technical School,Bono East,Techiman North,Mr. John Doe,
402,Akuse Methodist Senior High/Tech,Senior High Technical School,Eastern,Lower Manya Krobo,Mr. John Doe,
164,Akwamuman Senior High,Senior High School,Eastern,Asuogyaman,Mr. John Doe,
275,Akwesi Awobaa Senior High/Tech,Senior High Technical School,Ashanti,Ejura/Sekyedumase,Mr. John Doe,
366,Akyin SHS,Senior High Technical School,Central,Ekumfi,Mr. John Doe,
92,"Al-Azariya Islamic Snr. Higi, Kumasi",Senior High School,Ashanti,Kumasi,Mr. John Doe,
287,Amaniampong Senior High,Senior High School,Ashanti,Mampong,Mr. John Doe,
138,Amanten Senior Hi@,Senior High School,Bono East,Atebubu-Amantin,Mr. John Doe,
418,Amasaman Senior High/Tech,Senior High School,Greater Accra,Ga West,Mr. John Doe,
384,AMeaman Senior High,Senior High School,Eastern,Asene Manso Akroso,Mr. John Doe,
240,Amenfiman Senior High,Senior High School,Western,Wassa Amenfi East,Mr. John Doe,
408,Amuana Praso Senior High,Senior High Technical School,Eastern,Birim North,Mr. John Doe,
458,Anbariya Senior High Sch.,Senior High School,Northern,Tamale Metropolitan,Mr. John Doe,
586,Anfoega Senior High,Senior High School,Volta,North Dayi,Mr. John Doe,
89,"Anglican Senior High, Kumasi",Senior High School,Ashanti,Kumasi,Mr. John Doe,
561,Anlo Afiadenyigba Senior High,Senior High School,Volta,Keta Municipal,Mr. John Doe,
560,Anlo Awomefia Senior High,Senior High Technical School,Volta,Keta Municipal,Mr. John Doe,
218,Anlo Senior High,Senior High School,Volta,Keta Municipal,Mr. John Doe,
604,Annor Adjaye Senior High,Senior High School,Western,Jomoro,Mr. John Doe,
284,Antoa Senior High,Senior High School,Ashanti,Kwabre East,Mr. John Doe,
382,Anum Apapam Comm. Day,Senior High Technical School,Eastern,Ayensuano,Mr. John Doe,
259,Anum Asamoah Senior High/Tech,Senior High Technical School,Ashanti,Atwima-Kwanwoma,Mr. John Doe,
378,Anum Presby Senior High,Senior High School,Eastern,Asuogyaman,Mr. John Doe,
393,Apedwa Presby Senior High,Senior High School,Eastern,Fanteakwa South,Mr. John Doe,
379,Apeguso Senior High,Senior High Technical School,Eastern,Asuogyaman,Mr. John Doe,
388,Aperade Senior High/Tech.,Senior High Technical School,Eastern,Achiase,Mr. John Doe,
46,Archbishop Porter Girls Snr.High .,Senior High School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
96,"Armed Forces Senior High/Tech, Kumasi",Senior High Technical School,Ashanti,Kumasi,Mr. John Doe,
189,Asamankese Senior High,Senior High School,Eastern,West Akim,Mr. John Doe,
612,Asankrangwa Senior High,Senior High Technical School,Western,Wassa Amenfi East,Mr. John Doe,
598,Asankrangwa Senior High/Tech,Senior High School,Western,Wassa Amenfi East,Mr. John Doe,
98,Asanteman Senior High,Senior High School,Ashanti,Kumasi,Mr. John Doe,
67,Asare Bediako Senior High .,Senior High School,Ashanti,Adansi North,Mr. John Doe,
404,Asesewa Senior High/Tech,Senior High School,Eastern,Upper Manya Krobo,Mr. John Doe,
351,Assin Manso Senior High,Senior High Technical School,Central,Assin South,Mr. John Doe,
349,Assin North Senior High/Tech,Senior High Technical School,Central,Assin North,Mr. John Doe,
350,Assin Nsuta SHS,Senior High School,Central,Assin South,Mr. John Doe,
346,Assin State College,Senior High School,Central,Assin North,Mr. John Doe,
475,Asukawkaw Senior High,Senior High School,Oti,Krachi East,Mr. John Doe,
397,Asuom Senior High,Senior High School,Eastern,Kwaebibirem,Mr. John Doe,
292,Asuoso Comm. Senior High,Senior High School,Ashanti,Offinso North,Mr. John Doe,
575,Atavanyo Senior High7Tech.,Senior High School,Volta,Hohoe Municipal,Mr. John Doe,
327,Atebubu Senior High,Senior High School,Bono East,Atebubu-Amantin,Mr. John Doe,
554,Atiavi Senior High/Tech,Senior High School,Volta,Keta Municipal,Mr. John Doe,
167,Attafuah Senior High/Tech,Senior High Technical School,Eastern,Birim Central,Mr. John Doe,
569,Avatime Senior High,Senior High Technical School,Volta,Ho West,Mr. John Doe,
552,Ave Senior High,Senior High School,Volta,Akatsi North,Mr. John Doe,
553,Avenor Senior High,Senior High Technical School,Volta,Akatsi South,Mr. John Doe,
592,Aveyime Battor Senior High/Tech.,Senior High School,Volta,North Tongu,Mr. John Doe,
54,Awaso STEM Senior High,Senior High School,Western North,Bibiani Anhwiaso Bekwai,Mr. John Doe,
515,Awe Senior High/Tech.,Senior High School,Upper East,Kassena-Nankana Municipal,Mr. John Doe,
221,Awudome Senior High .,Senior High School,Volta,Ho Municipal,Mr. John Doe,
353,Awutu Bawjiase Comm. SHS,Senior High School,Central,Awutu Senya East,Mr. John Doe,
154,Awutu Winton Senior High,Senior High School,Central,Awutu Senya West,Mr. John Doe,
606,Axim Girls Senior High,Senior High School,Western,Nzema East Municipal,Mr. John Doe,
364,Ayanfuri Senior High,Senior High School,Central,Upper Denkyira West,Mr. John Doe,
376,Ayirebi Senior High,Senior High School,Eastern,Akyemansa,Mr. John Doe,
525,Azeem-Namoa Senior High/Tech,Senior High School,Upper East,Bongo,Mr. John Doe,
134,Badu Senior High/Tech.,Senior High Technical School,Bono,Tain,Mr. John Doe,
208,Bagto Ridge Senior High/Tech.,Senior High Technical School,Oti,Jasikan,Mr. John Doe,
600,Baidoo Bonso Senior High/Tech,Senior High School,Western,Ahanta West,Mr. John Doe,
487,Bamboi Comm. Senior High,Senior High School,Savannah,Bole,Mr. John Doe,
321,Bandaman Senior High,Senior High School,Bono,Banda,Mr. John Doe,
111,Bankoman Senior High,Senior High School,Ashanti,Sekyere Kumawu,Mr. John Doe,
263,Barekese SHS,Senior High School,Ashanti,Atwima-Nwabiagya North,Mr. John Doe,
337,Bassa Community Senior High,Senior High Technical School,Bono East,Sene East,Mr. John Doe,
589,Battor Senior High,Senior High Technical School,Volta,North Tongu,Mr. John Doe,
211,Bawku Senior High,Senior High School,Upper East,Bawku Municipal,Mr. John Doe,
498,Bawku Senior High/Tech.,Senior High School,Upper East,Bawku Municipal,Mr. John Doe,
65,Bechem Presby Senior High,Senior High School,Ahafo,Tano South,Mr. John Doe,
611,Benso Senior High/Tech,Senior High School,Western,Tarkwa-Nsuaem Municipal,Mr. John Doe,
319,Bepoase SHTS,Senior High Technical School,Ashanti,Sekyere South,Mr. John Doe,
398,Bepong SHS,Senior High School,Eastern,Kwahu South,Mr. John Doe,
241,Bia Senior High/Tech,Senior High Technical School,Western North,Bia West,Mr. John Doe,
467,Biakoye Comm. School,Senior High Technical School,Oti,Biakoye,Mr. John Doe,
617,Bibiani Senior High/Tech.,Senior High School,Western North,Bibiani Anhwiaso Bekwai,Mr. John Doe,
447,Bimbi£la Senior High,Senior High Technical School,Northern,Nanumba North Municipal,Mr. John Doe,
500,Binduri Comm. Day Senior High,Senior High School,Upper East,Binduri,Mr. John Doe,
533,Birifoh Senior High Sch.,Senior High School,Upper West,Lawra Municipal,Mr. John Doe,
45,Bishop Herman College,Senior High School,Volta,Kpando Municipal,Mr. John Doe,
161,Boa-Amponsem Senior High,Senior High School,Central,Upper Denkyira East,Mr. John Doe,
303,Boanim Senior High/ Tech Sch,Senior High Technical School,Ashanti,Sekyere South,Mr. John Doe,
243,Bodi Senior High,Senior High School,Western North,Bodi,Mr. John Doe,
301,Bodomase Senior High/Tech,Senior High Technical School,Ashanti,Sekyere Kumawu,Mr. John Doe,
249,Bodwesango Senior High,Senior High School,Ashanti,Adansi North,Mr. John Doe,
488,Bole Senior High,Senior High School,Savannah,Bole,Mr. John Doe,
503,Bolga Sherigu Comm. Senior High,Senior High Technical School,Upper East,Bolgatanga Municipal,Mr. John Doe,
39,Bolgatanga Senior High,Senior High School,Upper East,Talensi,Mr. John Doe,
235,Bompeh Senior High./Tech,Senior High Technical School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
506,Bongo Senior High,Senior High School,Upper East,Bongo,Mr. John Doe,
272,Bonwire Senior High/Tech,Senior High Technical School,Ashanti,Juaben,Mr. John Doe,
603,Bonzo-Kaku Senior High,Senior High Technical School,Western,Ellembelle,Mr. John Doe,
430,Bortianor SHS,Senior High School,Greater Accra,Ga South,Mr. John Doe,
377,Boso Senior High Technical,Senior High Technical School,Eastern,Asuogyaman,Mr. John Doe,
266,Bosome Senior High/Tech.,Senior High Technical School,Ashanti,Bosome Freho,Mr. John Doe,
268,BosomMe Oyoko Comm. Senior High,Senior High School,Ashanti,Bosomtwe,Mr. John Doe,
51,Bosomtwe Girls STEM Senior High,Senior High School,Ashanti,Bosomtwe,Mr. John Doe,
313,Bosomtwe Senior High/Tech,Senior High Technical School,Ashanti,Bosome Freho,Mr. John Doe,
36,Botga Girls Senior High,Senior High School,Upper East,Bolgatanga Municipal,Mr. John Doe,
468,Bowiri Comm. Day Senior High/Tech.,Senior High School,Oti,Biakoye,Mr. John Doe,
210,Bueman Senior High .,Senior High School,Oti,Jasikan,Mr. John Doe,
490,Buipe Senior High,Senior High School,Savannah,Central Gonja,Mr. John Doe,
456,"Business Senior High, Tamafe",Senior High School,Northern,Tamale Metropolitan,Mr. John Doe,
330,Busunya Senior High,Senior High School,Bono East,Nkoranza North,Mr. John Doe,
204,Chemu Senior High/Tech,Senior High Technical School,Greater Accra,Tema Metropolitan,Mr. John Doe,
431,Chereponi Senior High/Tech.,Senior High Technical School,North East,Chereponi,Mr. John Doe,
518,Chiana Senior High,Senior High School,Upper East,Kassena-Nankana West,Mr. John Doe,
131,Chiraa Senior Hi@,Senior High School,Bono,Sunyani West,Mr. John Doe,
616,Chirano Comm. Day School,Senior High School,Western North,Bibiani Anhwiaso Bekwai,Mr. John Doe,
104,"Christ the King Cath., Obuasi",Senior High School,Ashanti,Obuasi,Mr. John Doe,
416,Christian Methodist Senior High,Senior High School,Greater Accra,Ga South,Mr. John Doe,
306,Church Of Christ Senior High,Senior High School,Ashanti,Ejisu,Mr. John Doe,
362,College of Music Senior High,Senior High Technical School,Central,Gomoa West,Mr. John Doe,
596,Dabala Senior High/Tech.,Senior High School,Volta,South Tongu,Mr. John Doe,
233,Daboase Senior High/Tech,Senior High Technical School,Western,Mpohor,Mr. John Doe,
493,Daboya Comm. Day School,Senior High School,Savannah,North Gonja,Mr. John Doe,
300,Dadease Agric Senior High,Senior High School,Ashanti,Sekyere Kumawu,Mr. John Doe,
245,Dadieso Senior High,Senior High School,Western North,Suaman,Mr. John Doe,
527,Daffiamah Senior High,Senior High School,Upper West,Daffiama Bussie Issa,Mr. John Doe,
462,Dagbon State Senior High/Tech,Senior High School,Northern,Yendi Municipal,Mr. John Doe,
496,Damongo Senior High,Senior High Technical School,Savannah,West Gonja,Mr. John Doe,
246,Danso Agyei Senior high technical,Senior High Technical School,Ahafo,Asutifi South,Mr. John Doe,
265,Denyaseman Cath.Senior High,Senior High School,Ashanti,Bekwai,Mr. John Doe,
63,Derma Comm. Day School,Senior High School,Ahafo,Tano South,Mr. John Doe,
609,Diabene Senior High/Tech,Senior High School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
121,Diamono Senior High Sch.,Senior High School,Bono,Jaman North,Mr. John Doe,
162,Diaso Senior High,Senior High School,Central,Upper Denkyira West,Mr. John Doe,
473,Dodi-Papase Senior High/Tech,Senior High School,Oti,Kadjebi,Mr. John Doe,
590,Dofor Senior High,Senior High School,Volta,North Tongu,Mr. John Doe,
371,Donkorkrom Agric Senior High,Senior High School,Eastern,Kwahu Afram Plains North,Mr. John Doe,
340,Donkro- Nkwanta SHS,Senior High School,Bono East,Nkoranza South,Mr. John Doe,
116,Dormaa Senior High,Senior High School,Bono,Dormaa Central,Mr. John Doe,
126,Drobo Senior High,Senior High School,Bono,Jaman South,Mr. John Doe,
316,Drobonso SHS,Senior High School,Ashanti,Sekyere Afram Plains,Mr. John Doe,
323,Duadaso No. 1 Senior High/Tech.,Senior High School,Bono,Jaman North,Mr. John Doe,
363,Dunkwa Senior High/Tech,Senior High School,Central,Upper Denkyira East,Mr. John Doe,
106,Dwamena Akenten Senior High,Senior High School,Ashanti,Offinso,Mr. John Doe,
572,Dzo£o Senior High,Senior High School,Volta,Ho West,Mr. John Doe,
578,Dzodze Penyi Senior High,Senior High School,Volta,Ketu North Municipal,Mr. John Doe,
460,E. P. Agric Senior High/Tech.,Senior High School,Northern,Tatale Sanguli,Mr. John Doe,
573,E. P. Senior High,Senior High School,Volta,Hohoe Municipal,Mr. John Doe,
220,E.P.C. Mawuko Girls Senior Hi@,Senior High School,Volta,Ho Municipal,Mr. John Doe,
409,Ebenezer Senior High,Senior High Technical School,Greater Accra,Accra,Mr. John Doe,
299,Effiduase Senior High/Com,Senior High School,Ashanti,Sekyere East,Mr. John Doe,
298,Effiduase Senior High/Tech,Senior High Technical School,Ashanti,Sekyere East,Mr. John Doe,
355,Effutu Senior High/Tech,Senior High Technical School,Central,Cape Coast,Mr. John Doe,
87,Ejisu Senior High/Tech,Senior High Technical School,Ashanti,Ejisu,Mr. John Doe,
271,Ejisuman Senior High,Senior High School,Ashanti,Ejisu,Mr. John Doe,
274,Ejuraman Anglican Senior High,Senior High School,Ashanti,Ejura/Sekyedumase,Mr. John Doe,
159,Ekumfi T. I. Ahmadiiw«SHTS,Senior High Technical School,Central,Ekumfi,Mr. John Doe,
532,Eremon Senior High/Tech.,Senior High Technical School,Upper West,Lawra Municipal,Mr. John Doe,
255,Esaase Bontefufuo Snr. High/Tech.,Senior High Technical School,Ashanti,Amansie West,Mr. John Doe,
230,Esiama Senior High/Tech,Senior High Technical School,Western,Ellembelle,Mr. John Doe,
358,Fettehman Senior High,Senior High Technical School,Central,Gomoa East,Mr. John Doe,
318,Feyiase SHS,Senior High Technical School,Ashanti,Bosomtwe,Mr. John Doe,
610,Fiaseman Senior High,Senior High School,Western,Tarkwa-Nsuaem Municipal,Mr. John Doe,
50,Fijai Senior High,Senior High School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
400,Fodoa Comm. Senior High,Senior High School,Eastern,Kwahu West,Mr. John Doe,
66,Fomena T.I. Ahmadiyya Senior High,Senior High School,Ashanti,Adansi North,Mr. John Doe,
198,"Forces Senior High/Tech, Burma Camp",Senior High Technical School,Greater Accra,La-Dade-Kotopon,Mr. John Doe,
511,Fumbisi Senior High,Senior High School,Upper East,Builsa South,Mr. John Doe,
539,Funsi SHS,Senior High School,Upper West,Wa East,Mr. John Doe,
433,Gambaga Girls Senior High,Senior High Technical School,North East,East Mamprusi,Mr. John Doe,
501,Gambigo Comm. Day Senior High,Senior High School,Upper East,Bolgatanga East,Mr. John Doe,
512,Garu Comm. Day Senior High,Senior High School,Upper East,Garu,Mr. John Doe,
597,Gbekor SHS,Senior High Technical School,Volta,Adaklu District,Mr. John Doe,
442,Gbintiri Senior High/Tech,Senior High School,North East,East Mamprusi,Mr. John Doe,
107,Ghana MusLim Mission Senior High,Senior High School,Ashanti,Sekyere Central,Mr. John Doe,
155,Ghana National College,Senior High School,Central,Cape Coast,Mr. John Doe,
23,"Ghana Senior High, Koforidua",Senior High School,Eastern,New Juaben North,Mr. John Doe,
47,Ghana Senior High/Tech,Senior High Technical School,Western,Sekondi Takoradi Metropolitan,Mr. John Doe,
35,"Ghana SHS, Tamale Metropolitan",Senior High School,Northern,Tamale Metropolitan,Mr. John Doe,
203,Ghanata Senior High,Senior High School,Greater Accra,Shai-Osudoku,Mr. John Doe,
124,Goka Senior High/Tech.,Senior High Technical School,Bono,Jaman North,Mr. John Doe,
359,Gomoa Gyaman Senior High,Senior High Technical School,Central,Gomoa Central,Mr. John Doe,
361,Gomoa Senior High/Tech,Senior High Technical School,Central,Gomoa West,Mr. John Doe,
505,Gowrie Senior High/Tech.,Senior High School,Upper East,Bongo,Mr. John Doe,
147,Guakro Effah Senior High,Senior High School,Bono East,Techiman North,Mr. John Doe,
605,Gwiraman Comm.Senior High,Senior High Technical School,Western,Nzema East Municipal,Mr. John Doe,
286,Gyaama Pensan Senior High/Tech,Senior High Technical School,Ashanti,Kwabre East,Mr. John Doe,
347,Gyaase Community Senior High,Senior High School,Central,Assin North,Mr. John Doe,
59,Gyamfi Kumanini Senior High/Tech,Senior High Technical School,Ahafo,Asutifi North,Mr. John Doe,
333,Gyarko Comm. Day Senior High,Senior High School,Bono East,Techiman,Mr. John Doe,
231,HaLf Assini Senior High,Senior High School,Western,Jomoro,Mr. John Doe,
545,Han Senior High,Senior High Technical School,Upper West,Jirapa Municipal,Mr. John Doe,
326,Hidaayah Islamic SHS,Senior High Technical School,Bono,Jaman South,Mr. John Doe,
15,"Holy Child School, Cape Coast",Senior High School,Central,Cape Coast,Mr. John Doe,
538,Holy Family Senior High,Senior High School,Upper West,Lambussie Karni,Mr. John Doe,
412,Holy Trinity Senior High,Senior High Technical School,Greater Accra,Accra,Mr. John Doe,
61,Hwidiem Senior High,Senior High School,Ahafo,Asutifi South,Mr. John Doe,
314,Ibadur Rahman Academy,Senior High School,Ashanti,Asokore-Mampong,Mr. John Doe,
187,"Islamic Girls Senior High,Suhum",Senior High School,Eastern,Suhum,Mr. John Doe,
451,"Islamic Science Senior High, Tamafe",Senior High School,Northern,Sagnarigu Municipal,Mr. John Doe,
541,"Islamic Senior High, Wa",Senior High School,Upper West,Wa Municipal,Mr. John Doe,
311,J. A. Kufuor Senior High,Senior High School,Ashanti,Kumasi,Mr. John Doe,
320,J.A. Kufour Stem Technical School,Senior High School,Ashanti,Atwima-Nwabiagya North,Mr. John Doe,
357,J.E.A. Mills Senior High,Senior High School,Central,Ekumfi,Mr. John Doe,
85,Jachie Pramso Senior High,Senior High School,Ashanti,Bosomtwe,Mr. John Doe,
71,Jacobu Senior High/Tech.,Senior High Technical School,Ashanti,Amansie Central,Mr. John Doe,
544,Jamiat Al-Hidaya Islamic Girls,Senior High School,Upper West,Wa Municipal,Mr. John Doe,
437,Janga Senior High/Tech,Senior High School,North East,West Mamprusi,Mr. John Doe,
139,Jema Senior High,Senior High School,Bono East,Kintampo South,Mr. John Doe,
550,Jim Bourton Mem Agric. Senior High,Senior High School,Volta,Afadzato South,Mr. John Doe,
528,Jirapa Senior High,Senior High School,Upper West,Jirapa Municipal,Mr. John Doe,
86,Juaben Senior High,Senior High School,Ashanti,Juaben,Mr. John Doe,
244,Juaboso Senior High,Senior High School,Western North,Juaboso,Mr. John Doe,
305,Jubilee Senior High,Senior High School,Ashanti,Asante-Akim South,Mr. John Doe,
175,Kade Senior High/Tech.,Senior High Technical School,Eastern,Kwaebibirem,Mr. John Doe,
472,Kadjebi-Asato Senior High,Senior High Technical School,Oti,Kadjebi,Mr. John Doe,
534,Kafeo Senior High/Tech,Senior High School,Upper West,Nadowli-Kaleo,Mr. John Doe,
143,Kajaji Senior High,Senior High School,Bono East,Sene East,Mr. John Doe,
207,Kalpohin Senior High,Senior High School,Northern,Sagnarigu Municipal,Mr. John Doe,
413,Kaneshie Senior High/Tech.,Senior High School,Greater Accra,Accra,Mr. John Doe,
510,Kanjarga Comm. Senior High,Senior High Technical School,Upper East,Builsa South,Mr. John Doe,
444,Karaga Senior High,Senior High School,Northern,Karaga,Mr. John Doe,
464,Kasuliyi£i Senior High,Senior High Technical School,Northern,Tolon,Mr. John Doe,
334,Kesse Basahyia SHS,Senior High School,Bono East,Techiman,Mr. John Doe,
559,Keta Business College,Senior High School,Volta,Keta Municipal,Mr. John Doe,
223,Keta Senior High/Tech .,Senior High Technical School,Volta,Keta Municipal,Mr. John Doe,
478,Kete Krachi Senior High/Tech.,Senior High Technical School,Oti,Krachi West,Mr. John Doe,
171,Kibi Senior High/Tech,Senior High Technical School,Eastern,Abuakwa South,Mr. John Doe,
414,Kinbu Senior High/Tech,Senior High School,Greater Accra,Korle-Klottey,Mr. John Doe,
328,Kintampo Senior High,Senior High School,Bono East,Kintampo North,Mr. John Doe,
90,KNUST Senior High,Senior High Technical School,Ashanti,Oforikrom,Mr. John Doe,
537,Ko Senior High,Senior High School,Upper West,Nandom Municipal,Mr. John Doe,
325,Koase Senior High/Tech,Senior High School,Bono,Wenchi,Mr. John Doe,
283,Kofi Adjei Senior High/Tech,Senior High Technical School,Ashanti,Kwabre East,Mr. John Doe,
102,Kofiase Adventist Senior High7Tech.,Senior High School,Ashanti,Mampong,Mr. John Doe,
24,Koforidua Senior High/Tech,Senior High Technical School,Eastern,New Juaben North,Mr. John Doe,
112,Konadu Yiadom Catholic Senior High,Senior High School,Ashanti,Sekyere South,Mr. John Doe,
522,Kongo Senior High,Senior High Technical School,Upper East,Nabdam,Mr. John Doe,
9,Konongo Odumase Senior High .,Senior High School,Ashanti,Asante-Akim Central,Mr. John Doe,
224,Kpando Senior Hi@ .,Senior High School,Volta,Kpando Municipal,Mr. John Doe,
53,Kpasenpke STEM Senior High,Senior High School,North East,West Mamprusi,Mr. John Doe,
480,Kpassa Senior High/Tech,Senior High School,Oti,Nkwanta North,Mr. John Doe,
568,Kpedze Senior High,Senior High Technical School,Volta,Ho West,Mr. John Doe,
593,Kpeve Senior High Tech,Senior High School,Volta,South Dayi,Mr. John Doe,
421,Kpone Comm. Senior High,Senior High School,Greater Accra,Kpone-Katamanso,Mr. John Doe,
383,Kraboa-Coaftar Presby Snr. High/Tech.,Senior High School,Eastern,Ayensuano,Mr. John Doe,
479,Krachi Senior High,Senior High School,Oti,Krachi West,Mr. John Doe,
336,Krobo Comm.Senior High,Senior High School,Bono East,Techiman North,Mr. John Doe,
22,Krobo Girls' Presby Senior High,Senior High School,Eastern,Lower Manya Krobo,Mr. John Doe,
582,Ktikor Senior High/Tech.,Senior High Technical School,Volta,Ketu South Municipal,Mr. John Doe,
57,Kukuom Agric Senior High,Senior High School,Ahafo,Asunafo South,Mr. John Doe,
75,Kumasi Academy,Senior High School,Ashanti,Asokore-Mampong,Mr. John Doe,
94,"Kumasi Girls Senior High,",Senior High School,Ashanti,Kumasi,Mr. John Doe,
4,Kumasi High School,Senior High School,Ashanti,Kumasi,Mr. John Doe,
280,Kumasi Senior High/Tech,Senior High Technical School,Ashanti,Kumasi,Mr. John Doe,
101,Kumasi Wesley Girls High Sch,Senior High School,Ashanti,Kumasi,Mr. John Doe,
445,Kumbungu Senior High,Senior High School,Northern,Kumbungu,Mr. John Doe,
307,Kurofa Methodist Senior High Tech,Senior High School,Ashanti,Asante-Akim South,Mr. John Doe,
499,Kusanaba SHS,Senior High School,Upper East,Bawku West,Mr. John Doe,
415,Kwabenya Comm. Senior High,Senior High School,Greater Accra,Ga East,Mr. John Doe,
141,Kwabre Senior High,Senior High School,Bono East,Nkoranza South,Mr. John Doe,
